suspectible,exposed,infected,carrier,dead,recovered
419071,1102,4869,533,4681,569744
418894,1108,4764,522,4682,570030
418720,1096,4647,521,4684,570332
418544,1071,4534,518,4687,570646
418360,1064,4435,517,4692,570932
418194,1049,4362,499,4693,571203
418029,1055,4223,485,4695,571513
417879,1034,4111,480,4699,571797
417736,1022,4023,471,4700,572048
417581,1006,3966,450,4702,572295
417442,960,3887,450,4702,572559
417309,941,3809,441,4704,572796
417152,942,3735,419,4707,573045
417039,889,3677,402,4707,573286
416909,848,3609,388,4711,573535
416765,837,3541,369,4713,573775
416622,840,3457,368,4716,573997
416507,820,3364,372,4720,574217
416384,813,3298,371,4720,574414
416280,779,3220,367,4723,574631
416159,758,3152,362,4725,574844
416060,742,3075,345,4725,575053
415934,718,3040,343,4725,575240
415816,713,2985,343,4725,575418
415709,709,2906,342,4727,575607
415586,704,2841,334,4732,575803
415482,707,2767,330,4734,575980
415385,669,2713,331,4735,576167
415280,657,2663,318,4736,576346
415188,649,2611,304,4737,576511
415100,626,2568,301,4739,576666
415014,600,2512,298,4740,576836
414928,573,2451,292,4745,577011
414839,569,2392,281,4747,577172
414756,551,2354,281,4749,577309
414659,562,2285,284,4754,577456
414557,579,2226,281,4754,577603
414470,579,2149,271,4754,577777
414384,565,2129,259,4754,577909
414304,561,2080,254,4756,578045
414235,523,2030,255,4757,578200
414165,505,1979,240,4760,578351
414100,479,1946,239,4762,578474
414033,461,1916,231,4764,578595
413963,443,1883,221,4764,578726
413909,410,1844,222,4767,578848
413850,389,1805,212,4767,578977
413790,376,1781,204,4767,579082
413727,382,1734,196,4770,579191
413651,390,1706,194,4772,579287
413608,373,1658,188,4774,579399
413554,363,1614,177,4775,579517
413489,367,1571,178,4776,579619
413427,373,1527,175,4776,579722
413374,373,1476,168,4776,579833
413327,367,1430,163,4777,579936
413283,349,1398,158,4778,580034
413227,345,1370,158,4778,580122
413185,322,1333,156,4779,580225
413126,341,1295,153,4779,580306
413083,329,1266,161,4781,580380
413029,323,1231,159,4781,580477
412981,313,1224,147,4781,580554
412945,296,1197,146,4782,580634
412899,292,1177,138,4783,580711
412860,270,1159,138,4784,580789
412823,260,1145,134,4785,580853
412781,259,1109,132,4788,580931
412745,257,1097,125,4788,580988
412702,251,1082,119,4788,581058
412659,247,1058,116,4789,581131
412618,249,1027,111,4791,581204
412581,249,998,103,4791,581278
412553,243,981,95,4793,581335
412522,234,955,95,4793,581401
412499,222,928,90,4793,581468
412461,222,894,87,4795,581541
412436,198,887,95,4796,581588
412413,190,861,95,4796,581645
412370,200,846,94,4796,581694
412340,196,823,94,4797,581750
412311,188,807,94,4797,581803
412274,190,790,91,4797,581858
412249,187,765,96,4797,581906
412222,179,750,90,4798,581961
412197,176,735,84,4799,582009
412186,156,728,80,4799,582051
412158,157,708,82,4799,582096
412140,152,692,73,4799,582144
412118,141,682,76,4799,582184
412092,140,657,76,4799,582236
412068,144,636,68,4800,582284
412050,143,617,66,4800,582324
412037,130,599,67,4800,582367
412012,141,586,57,4801,582403
411995,126,579,63,4801,582436
411975,120,562,67,4802,582474
411947,128,541,64,4803,582517
411925,133,515,66,4804,582557
411907,127,512,62,4804,582588
411881,135,503,59,4804,582618
411865,132,493,53,4804,582653
411857,117,484,55,4804,582683
411849,106,463,57,4804,582721
411826,107,454,56,4804,582753
411812,105,442,54,4804,582783
411804,100,428,52,4804,582812
411788,97,420,49,4805,582841
411778,90,412,47,4805,582868
411767,82,411,49,4805,582886
411748,83,410,47,4806,582906
411733,83,402,47,4806,582929
411718,86,390,44,4807,582955
411709,82,374,44,4807,582984
411696,84,358,39,4807,583016
411687,78,353,39,4807,583036
411677,75,334,40,4807,583067
411665,75,329,40,4807,583084
411654,76,308,40,4807,583115
411640,79,305,40,4807,583129
411634,77,295,35,4807,583152
411624,79,280,38,4807,583172
411615,75,268,39,4807,583196
411598,79,264,38,4807,583214
411585,75,256,38,4807,583239
411575,69,254,38,4807,583257
411560,70,250,35,4807,583278
411549,70,244,33,4807,583297
411539,72,234,32,4809,583314
411530,72,227,33,4809,583329
411519,70,223,32,4809,583347
411510,63,224,33,4809,583361
411500,61,223,33,4810,583373
